category_id,category_name
101972,Bộ chia mạng
101973,Cáp Máy Tính
101974,Bộ Chuyển Mạch KVM
101975,Máy Chủ Máy In
101937,Phần Mềm
101977,Máy Đánh Chữ
101978,Máy Chấm Công
101979,Máy Hủy Tài Liệu
101980,Máy Đếm Tiền
101982,"Máy In, Máy Scan & Máy Photo"
101983,Máy In Mã Vạch
101984,Mực In & Khay Mực
101985,Máy In 3D
101986,Khác
101987,Bộ chia cổng USB & Đọc thẻ nhớ
101988,Webcam
101071,Giày bệt
101073,Playstation
101074,Xbox
101075,Wii
101076,Nintendo DS
101077,Gameboy
101078,Switch
101079,PS Vita
101080,PSP
100696,Phụ kiện console
101082,Game Playstation
101083,Game Xbox
101084,Game Wii
101085,Game Nintendo DS
101086,Game Gameboy
101087,Game Switch
100275,Ống kính điện thoại
100276,Đèn flash điện thoại & Đèn selfie
100277,Quạt USB & Quạt điện thoại
100278,Bút cảm ứng
100279,Kẹp điện thoại
100280,Dây đeo điện thoại & Móc khóa
100281,Thẻ nhớ
100282,Thiết bị trình chiếu
100283,Túi đựng điện thoại
100479,"Bao đựng cáp, Bảo vệ cáp & Cuộn dây"
100480,Bộ sạc du lịch
100481,Cáp & Bộ chuyển đổi di động
100482,Bộ sạc
100483,Đế sạc đứng
100484,Khác
100285,Đèn USB & Đèn điện thoại
101955,Ram Máy Tính
101956,Bộ Lưu Điện
101957,Case Máy Tính
101958,Ổ Đĩa Quang
101959,Bo Mạch Âm Thanh
101960,Khác
101961,Ổ Cứng Di Động
101962,Ổ Cứng SSD
101963,Ổ Cứng Mạng (NAS)
101964,USB & OTG
101965,Thiết Bị Đựng Ổ Cứng
101966,Đĩa CD
101968,Bộ Phát Wifi
101969,Bộ Kích Wifi
101970,Bộ Thu Wifi
101971,Bộ Chuyển Đổi Mạng
101787,Chân váy
101788,Quần leggings
101055,Đồ liền thân
101056,Váy
101057,Com lê & đồ bộ
101059,Bốt
101060,Dép quai hậu
101061,Giày thể thao
101062,Dép lê
101063,Giày tây
101064,Giày lười
101066,Bốt
101067,Dép quai hậu
101068,Giày thể thao
101069,Giày lười
